No. Item,Target Word,Type of Metonymy,Metonymic Sentence,Literal Sentence,Metonymic Paraphrase,Literal Paraphrase,Sentence with Metonymic Paraphrase (for Experiment 2),Sentence with Literal Paraphrase (for Experiment 2)
186, illustrator ,PRODUCER-FOR-PRODUCT, all their products feature amazing illustrators  , this amazing city inspired other illustrators , drawing , people , kids also had the chance to color drawings  , a vehicle collision hurt four people
187, illustrator ,PRODUCER-FOR-PRODUCT, the director wanted to collect american illustrators  , the divide preoccupies many illustrators , artwork , people , guests admired contemporary artwork , our partners empower people
188, illustrator ,PRODUCER-FOR-PRODUCT, children's publishers should publish more illustrators  , the company contacted popular illustrators , book , people , a well-known local author has released another book , national symbols intend to unite people
189, designer ,PRODUCER-FOR-PRODUCT, different subsequent fashion shows showcase polish designers , the tech industry needs more female designers , creation , woman , models present creations , the 11 council members elected two women
190, designer ,PRODUCER-FOR-PRODUCT, the south african consumer wants to buy south african designers  , the company is actively hiring young designers , clothes , professional , its workers sewed clothes , the residents must consult professionals
191, designer ,PRODUCER-FOR-PRODUCT, the local boutique sells her favourite designers  , robson street pedestrian plaza seeks designers , clothes , people , the suspect tore her clothes , officers there have fatally shot eight people
192, designer ,PRODUCER-FOR-PRODUCT, the 37-year-old's wardrobe largely consisted of local designers  , our young team comprises of designers , product , man , consumers dispose of products , the caller complained of men
193, designer ,PRODUCER-FOR-PRODUCT, this sale offers such designers  , the two ladies recruited other amazing designers , work , people , the exhibition featured contemporary works , organizers are hoping to gather some 200000 people
194, designer ,PRODUCER-FOR-PRODUCT, the store also carries brand-name designers  , this year's edition also celebrated other designers , suit , people , a textile company manufactured flying suits , the festival attracted about 10000 people
195, designer ,PRODUCER-FOR-PRODUCT, the shop also stocks eight other designers  , the course trains graduate designers , clothing , student , customers can also recycle their clothing , the baptist college enrolled 5030 students
196, designer ,PRODUCER-FOR-PRODUCT, the boutique is stuffed with local designers  , the brand collaborates with international designers , clothes , professional , the suitcase overflows with clothes , participants interact with professionals
197, designer ,PRODUCER-FOR-PRODUCT, royal brides have also donned the designer  , the programme must assist young designers , outfit , people , actresses have flaunted their outfits , their work engages young people
198, designer ,PRODUCER-FOR-PRODUCT, the boutique showcases local fashion designers  , the competition welcomes aspiring designers , creation , people , retailers consider it an honor to sell creations , the week aims to educate all interested people
199, designer ,PRODUCER-FOR-PRODUCT, her closet mixes high-end designers with fast-fashion favorites  , the unconventional fashion event challenges amateur designers , clothes , man , the victim allegedly began packing her clothes , police called three other men
200, newspaper ,PRODUCT-FOR-PRODUCER, other newspapers protested the possible loss of revenue , the newspaper arrived in the morning , employee , publication , employees would face a cut in pay , the publication detailed intimate revelations
201, newspaper ,PRODUCT-FOR-PRODUCER, the local newspaper contacted an entrepreneur , the newspaper carried an arts page , reporter , publication , the reporter moderated the debate , the publication contained details
202, newspaper ,PRODUCT-FOR-PRODUCER, the newspaper has interviewed arab leaders , the newspaper lost circulation , reporter , publication , reporters shoved microphones in his face , the publication arrived at the department
203, newspaper ,PRODUCT-FOR-PRODUCER, the newspaper received the tapes , the newspaper contains several pages , editor , publication , the editor had achieved a scoop , the publication publishes news-related material
204, newspaper ,PRODUCT-FOR-PRODUCER, this uk newspaper stole a headline , the newspaper covers world news , editor , publication , the editor posted his own note , the publication resulted from a collaboration
205, newspaper ,PRODUCT-FOR-PRODUCER, the newspaper hates the politician , the newspaper appeared on monday , writer , publication , some writers questioned his suitability , the publication is available in print
206, newspaper ,PRODUCT-FOR-PRODUCER, many people called the newspaper , postal expresses delivered the newspaper , editor , publication , the government terrorized the editor , the company prints the publication
207, magazine ,PRODUCT-FOR-PRODUCER, the magazine wrote about religion , the magazine bristled with adverts , writer , publication , the writers describe the political division , the publication includes a 12-page advertising
208, magazine ,PRODUCT-FOR-PRODUCER, the actress thanked the magazine , the magazine spread across his lap , team , publication , the editor helped the team with their problems , the publication features 15 contributions
209, magazine ,PRODUCT-FOR-PRODUCER, the star sued the magazine , the publisher launched the magazine , publisher , publication , authors and media condemned the publisher , a world-wide audience reads the publication online
210, magazine ,PRODUCT-FOR-PRODUCER, the magazine hired its first editor , the magazine includes illustrations , owner , publication , publishers employ copy editors , the publication holds many stories
211, magazine ,PRODUCT-FOR-PRODUCER, the singer told the magazine , the library offers digital magazines , journalist , publication , police officers detained a journalist , the software creates digital publications
212, magazine ,PRODUCT-FOR-PRODUCER, critics accused the magazine , the group distributes magazines , publisher , publication , the studio thanks the publisher , subscribers receive new publications
213, magazine ,PRODUCT-FOR-PRODUCER, his performance has impressed the magazine , the patient was leafing through magazines , reviewer , publication , the club hired a reviewer , the person possessed prohibited publications
214, journal ,PRODUCT-FOR-PRODUCER, the journal organized a competition , the journal carries experimental articles , publisher , publication , the publisher printed his work , the publication highlights success stories
215, journal ,PRODUCT-FOR-PRODUCER, the institute will collaborate with scientific journals , university librarians subscribe to journals , editor , publication , this arrangement support editors , departments have released detailed publications
216, journal ,PRODUCT-FOR-PRODUCER, the reviewer had contacted the journal , practitioners do not read academic journals , editor , publication , the chief executive protected the editor , the blog monitors academic publications
217, press ,PRODUCT-FOR-PRODUCER, the press filmed the killing , the press contains numerous reports , cameraman , publication , the cameramen took shots , the publications provided clear information
218, press ,PRODUCT-FOR-PRODUCER, the principals talk to the press , the business advertises in the press , reporter , publication , the proposed laws would hamper reporters , her gaze skimmed the publications
219, press ,PRODUCT-FOR-PRODUCER, the president manipulates the press , personal information appeared in the press , member , publication , the administration prosecutes the members , the analyst checks the publications
220, show ,PRODUCT-FOR-PRODUCER, the actor wrote to the show , the parents watched the show , producer , program , bosses are persuading the producers , television companies have bought the program
221, show ,PRODUCT-FOR-PRODUCER, a surprise caller rang up the show , the network broadcasts the show , staff , program , the showrunner fired the staff , the national chairman first hosted the program
222, show ,PRODUCT-FOR-PRODUCER, the show invited celebrities , the show flopped in the ratings , producer , program , the producers stay behind the scenes , the program would stay on the air
223, newspaper ,PRODUCT-FOR-PRODUCER, other deputies have attacked the newspaper , the university will digitize student newspapers , journalist , text , police verbally insulted the journalists , the economic affairs ministry published its full text
224, newspaper ,PRODUCT-FOR-PRODUCER, well-known waynesville attorney will represent the newspaper , the employee retrieved a newspaper , publisher , edition , the liberal media later blamed the publisher , the daily printed its celebratory edition
225, newspaper ,PRODUCT-FOR-PRODUCER, the authority briefed the newspaper , the old gentleman fetching the morning newspaper , journalist , publication , a senior u.s. official berated israeli journalist , corrections officials have confiscated the publications
226, newspaper ,PRODUCT-FOR-PRODUCER, school officials informed the newspaper , a woman browses a newspaper  , journalist , page , the rwandan government cannot bribe journalists , participants read 30 pages
227, newspaper ,PRODUCT-FOR-PRODUCER, the network's external lawyers warned the newspaper , some demonstrators had tried stuffing newspaper in the legs , editor , sheet , prime minister is meeting editors , the supporters used sheets
228, newspaper ,PRODUCT-FOR-PRODUCER, the handler advised the newspaper , the museum has collected newspapers , editor , edition , reporters are basically interviewing the editors , the government had already published two editions
229, newspaper ,PRODUCT-FOR-PRODUCER, the mayor shamed the newspaper , locals are used to checking their newspaper , editor , page , panel members advise tribune editors , lots of news filled the pages
230, newspaper ,PRODUCT-FOR-PRODUCER, the government threatened the newspaper , the vast majority of u.s. towns never produced a local newspaper , editor , publication , publishing professionals can nominate their favorite young editor , the company produces 64 print publications
231, newspaper ,PRODUCT-FOR-PRODUCER, that argument seems unlikely to persuade the big newspapers , black men still hawk the local newspaper , editor , publication , a reader trusts the editor , institute copyrighted its publication
232, newspaper ,PRODUCT-FOR-PRODUCER, many lawmakers congratulated the newspaper , county residents can recycle newspapers , editor , sheet , police have arrested the editor , each child take five sheets
233, magazine ,PRODUCT-FOR-PRODUCER, critics are blasting the magazine , readers can download the magazine , people , content , authorities are encouraging people , the contributors created exclusive content
234, magazine ,PRODUCT-FOR-PRODUCER, conservative activists ridiculed the magazine , stores wouldn't even carry the magazine , writer , publication , the australian operation currently employs three writers , its communications department currently publishes the student-run publication
235, magazine ,PRODUCT-FOR-PRODUCER, media figures roundly condemned the magazine , some retailers have declined to stock the magazine , publisher , publication , the moral crusader accused the publisher , one colleague and i have now co-authored 14 publications
236, magazine ,PRODUCT-FOR-PRODUCER, the insider assured the magazine , the tourist grabbed a magazine , staff , publication , a female jewish editor is now leading the staff , the 45-year-old physician has edited online medical publications
237, magazine ,PRODUCT-FOR-PRODUCER, readers have been asked to email the magazine , students will create a 68-page magazine , staff , publication , the show follows the staff , a german-speaking official translated these publications
238, magazine ,PRODUCT-FOR-PRODUCER, the couple gushes to the magazine , about 3.5 million people subscribe to the magazine , journalist , edition , the uk minister later explained to journalists , staff contributed to the wonderful edition
239, magazine ,PRODUCT-FOR-PRODUCER, the witness spoke to the magazine , the adults contribute to a magazine , reporter , edition , the lead petitioner responded to reporters , people subscribe to the print edition
240, magazine ,PRODUCT-FOR-PRODUCER, the author admits to the magazine , this incredible offer applies to bestselling magazines , journalist , publication , morning edition co-host talks to journalist  , the home page quotes one publication
241, magazine ,PRODUCT-FOR-PRODUCER, the star confessed to the magazine , your child subscribes to their magazine , journalist , edition , the series publicist is appealing to journalists , 30 experts from other fields contribute to the new edition
242, journal ,PRODUCT-FOR-PRODUCER, the nature journals have also commissioned a variety of content , the monthly peer-reviewed journal presents original articles , editor , publication , one editor recommends a 2-3 sentence summary , the online publication is highlighting the potential factors
243, journal ,PRODUCT-FOR-PRODUCER, journals initially rejected the paper , the journal covers new experimental and theoretical research , reviewer , publication , several reviewers criticized the theory , her recent publications include a chapter
244, journal ,PRODUCT-FOR-PRODUCER, many research journals have endorsed voluntary reporting guidelines , the journal focuses on listings , editor , publication , editors often request the original image , the publication dates back to 1960
245, journal ,PRODUCT-FOR-PRODUCER, 157 open access journals accepted a cancer study , the journal also contains a previously released report , board , publication , the journal's editorial advisory board also includes professor , this publication constitutes a primary text
246, journal ,PRODUCT-FOR-PRODUCER, those journals request the information , this visual journal features more than 80 full colour photos , editor , publication , a senior editor sent me an email , the publication concerns a question
247, village ,LOCATION-FOR-LOCATED, the village celebrated the spring , the village lies on a hillside , resident , building , the residents organized a street picket , the buildings collapsed in an earthquake
248, country ,LOCATION-FOR-LOCATED, the policies weakened the country , the refugees escaped the country , citizen , territory , the inquiry has avenged the citizens , important routes cross the territory
249, continent ,LOCATION-FOR-LOCATED, poverty decimates the continent , the soldier crossed the continent , population , land , the political system pacifies the population , the group abandoned the land
250, region ,LOCATION-FOR-LOCATED, the dictator is seeking to blackmail the region , groups inhabited the region , people , area , the virus threatens people , soldiers were patrolling the area
251, region ,LOCATION-FOR-LOCATED, the outlaw had over the years terrorized the region , inspectors tour the region , population , area , politicians represent the population , the army fled the area
252, nation ,LOCATION-FOR-LOCATED, the president spoke to the nation , the frontiers delimited the nation , citizen , territory , the army disarmed the citizens , the route traverses the territory
253, city ,LOCATION-FOR-LOCATED, the major addressed the city , our forces occupied the city , resident , area , police officers dispersed the residents , floods inundated the area
254, town ,LOCATION-FOR-LOCATED, the town banned nicotine products , the town straddles the river , official , area , the officials reiterated the administration's refusal , the area covers about 60000 square miles
255, neighborhood ,LOCATION-FOR-LOCATED, the neighborhood bolsters its school , the neighborhood contains parks , leader , neighborhood , the leader supports the congressman , the neighborhood comprises some 20 blocks
256, island ,LOCATION-FOR-LOCATED, the islands harbour a rivalry , the island attracts hikers , communitie , land , the communities have coexisted peacefully , the land formed a natural bowl
257, island ,LOCATION-FOR-LOCATED, the whole island becomes vegetarian for three days , the island offers good walking , resident , land , the residents noticed toxic smells , the land slopes up from the water
258, planet ,LOCATION-FOR-LOCATED, alternative agriculture can feed the planet , their practises are going to pollute the entire planet , population , area , officials evacuate the population , the reserve protects the area
259, east ,LOCATION-FOR-LOCATED, his team beat the east , the officers were driving east , team , direction , a player joined the team , the plane turned in the wrong direction
260, south ,LOCATION-FOR-LOCATED, the south fought the civil war , the south have a warmer climate , army , area , the armies came together in battle , the area is covered in tropical rain forests
261, county ,LOCATION-FOR-LOCATED, the county declared bankruptcy , the county surrounds the city , official , territory , the officials approved a motion , the territory includes a secured fence
262, clinic ,LOCATION-FOR-LOCATED, the patient has called the clinic , resident visit the clinic , receptionist , building , the client pays the receptionist , the machine is damaging the building
263, office ,LOCATION-FOR-LOCATED, the governor never consulted his office , the agent has furnished his office , staff , space , the new director-general warned his staff , new owners renovated the space
264, kitchen ,LOCATION-FOR-LOCATED, the kitchen has prepared the dishes , the kitchen boasts a huge fridge , staff , area , the staff serves nearly 100 diners , the area features a wood-burning stove
265, department ,LOCATION-FOR-LOCATED, the organization has informed the department , a delegation visited the department , member , building , the committee comprised members , 200 demonstrators occupied the building
266, school ,LOCATION-FOR-LOCATED, the principal instructed the school , the government has built the school , staff , building , education officials fired all the staff , an architect restored the building
267, hospital ,LOCATION-FOR-LOCATED, the family thanks the hospital , the architect designed the hospital , staff , building , the couple praised the staff , workmen demolished the building
268, bank ,LOCATION-FOR-LOCATED, the gang terrorized toronto banks , police surrounded the bank , teller , building , the detectives questioned the tellers , the guns continued to pound the building
269, court ,LOCATION-FOR-LOCATED, the question bothered the court , the jurors left court , judge , place , the justice minister accused the judges , rough soldiers filled the place
270, headquarters ,LOCATION-FOR-LOCATED, an officer advises headquarters , the police raided the headquarters , member , place , a radio communication instructed the members , water was ruining the place
271, consulate ,LOCATION-FOR-LOCATED, the legation informed the consulate , protesters had entered the consulate , employee , building , attackers assaulted the employees , a green roof insulates the building
272, embassy ,LOCATION-FOR-LOCATED, the minister warned the embassy , two protesters approached the embassy , personnel , building , terrorist groups have targeted the personnel , the company has acquired the building
273, courthouse ,LOCATION-FOR-LOCATED, fairfax courthouse destroyed one man's career , the courthouse lacks functionality for the 21st century , jury , building , the jury returned a guilty verdict , the building houses a restaurant
274, courthouse ,LOCATION-FOR-LOCATED, the town courthouse would not hear their case , the courthouse complies with building codes , judge , building , the town judges are accusing a man , the building occupies most of a city block
275, synagogue ,LOCATION-FOR-LOCATED, the lawyer represents the synagogue , the rioters destroyed the synagogue , member , building , the man harassed the members , the firm constructed the building
276, monastery ,LOCATION-FOR-LOCATED, an attorney contacted the monastery , the nuns inhabited the monastery , monk , building , the clergyman criticizes the monks , this project preserves the buildings
277, mosque ,LOCATION-FOR-LOCATED, the mosque promotes extremist views  , mosques rise in the neighborhoods , leader , building , leaders will apply for planning permission , buildings withstand earthquakes
278, mosque ,LOCATION-FOR-LOCATED, the mosque posted a long note , the mosque occupies a site , representative , building , representatives distribute food assistance , the building weighed 206 million pounds
279, mosque ,LOCATION-FOR-LOCATED, some mosques espouse extreme teachings , the local mosque burnt into an attack , imam , building , imams indulged in inflammatory rhetoric , the building underwent a renovation
280, institute ,LOCATION-FOR-LOCATED, a cia official telephoned the institute , students toured the institute , official , building , this student contacted the officials , the company owns the building
281, store ,LOCATION-FOR-LOCATED, magistrates fined the store , the suspect fled the store , owner , place , a resident informed the owner , the chain redeveloped the place
282, shop ,LOCATION-FOR-LOCATED, the shop tweeted a photo , the shop occupies all three floors , staff , place , the staff includes women , the place remained closed
283, centre ,LOCATION-FOR-LOCATED, the mayor congratulated the centre , families may visit the centre , team , building , the director leads the team , security forces besieged the building
284, centre ,LOCATION-FOR-LOCATED, the state consulted the centre in the matter , the architect designed the new centre , expert , building , athletes and coaches work closely with the experts , the aggressors vandalized the building
285, restaurant ,LOCATION-FOR-LOCATED, the inspector instructed the restaurant , the venue hosts restaurants , owner , place , the chef resents the owners , the family avoided public places
286, park ,LOCATION-FOR-LOCATED, the park issued a press release , the park encompasses the headwater , staff , area , the staff worked hard , the area has attracted visitors
287, nursery ,LOCATION-FOR-LOCATED, the director congratulated the nursery , stickers decorate the nursery , worker , place , the board pays the workers , a mob invaded the place
288, cafe ,LOCATION-FOR-LOCATED, the cafe shared the news , the cafe faces the harbor , staff , place , the staff takes orders , the place is jammed with people
289, gallery ,LOCATION-FOR-LOCATED, the members have accused the gallery of racism , the architect renovated the gallery , director , building , the journalist met the director , the foundation supports the building
290, hotel ,LOCATION-FOR-LOCATED, a former employee defrauded the hotel , the owner demolished the hotel , owner , building , the developer represented the owner , people exited the building
291, hotel ,LOCATION-FOR-LOCATED, the man never forgave the hotel , the attendants closed the hotel , management , building , secret service officers interrogate the management , volunteers dismantled the building
292, hotel ,LOCATION-FOR-LOCATED, the noise would arouse the hotel , the rider passed the hotel , guests , building , bad odors disturbed the guests , town council remodelled the building
293, room ,LOCATION-FOR-LOCATED, room 23 is not answering the phone , the room features central heating , occupants , space , the occupants were making loud noises , the space includes a spa-like master-bath
294, nightclub ,LOCATION-FOR-LOCATED, the nightclub announced its closure , the nightclub hosts a party , owner , place , the owners will hold a fundraising event , the place bursts with people
295, nightclub ,LOCATION-FOR-LOCATED, the nightclub released a statement , the nightclub caught on fire , staff , place , the staff refused her entry , the place has a large bar
296, gym ,LOCATION-FOR-LOCATED, the member called the gym , crowds jammed the gym , receptionist , place , my husband approached the receptionist , new owners transformed the place
297, table ,LOCATION-FOR-LOCATED, a guy was entertaining his table , customers occupied the tables , guest , seat , the host greeted his guests , the fan base is filling the seats
298, table ,LOCATION-FOR-LOCATED, the whole table laughed at his joke , the table contained a drawer , people , piece , the people lifted their glasses ," the piece of furniture measures 12"" x 11"""
299, theater ,LOCATION-FOR-LOCATED, the theater applauded the performers , the theater hosted retrospectives , audience , building , the audience responded to the music , the building dates from 1892
300, church ,LOCATION-FOR-LOCATED, the church was singing the hymns , churches nestle on the hillside above , congregation , building , the congregation filed back to their seats , vacant buildings line the route
301, stadium ,LOCATION-FOR-LOCATED, the stadium chanted a song , the stadium holds 80000 people , fan , structure , the fans applauded their hero , the structure reduces the weight of the roof
302, hall ,LOCATION-FOR-LOCATED, the whole hall was listening to the speaker , the hall measured 75 feet , attendee , area , the attendees purchased tickets , the area seats more than 1000 people
303, floor ,LOCATION-FOR-LOCATED, the floor complained about the noise , the floor was rented to businesses , occupant , space , the occupants had neutralized the fire , the space is split into two retail units
304, factory ,LOCATION-FOR-LOCATED, the factory fired the workers , the factory contained machines , worker , building , vans transported the workers , the buildings were succumbing to rust
305, industry ,LOCATION-FOR-LOCATED, the trucking industry fought for 20 years , industries are located in the country , worker , building , the trucking workers joined the union , buildings rise out of the landscape
306, town ,LOCATION-FOR-LOCATED, the town approved an ordinance , the town attracted visitors , official , area , the officials gave speeches , the area suffered wind damage
307, temple ,LOCATION-FOR-LOCATED, the temple cooks three bags of rice every day , the temple dates to the first century , bag , building , 40 members participated in a mass ceremony , the building collapsed onto itself
308, bleachers ,LOCATION-FOR-LOCATED, the bleachers were often chanting and cheering , some temporary bleachers buckled friday in new jersey , fans , structure , fans flocked to the ballpark , other structures had burned to the ground
309, bleachers ,LOCATION-FOR-LOCATED, the left-field bleachers screamed with fear , bleachers still lined downtown streets , spectator , seats , tens of thousands of spectators packed the streets , the seats recline a few degrees
310, bleachers ,LOCATION-FOR-LOCATED, the bleachers erupted with a cheer , the bleachers had suddenly collapsed , spectator , structure , spectators were booing the hartford team , the structure sustained significant damage
311, grandstand ,LOCATION-FOR-LOCATED, the grandstand roared when the steer ran off , the grandstand burned down in 1953 , crowd , structure , the crowds gather behind the court , the structure is undergoing restoration work
312, grandstand ,LOCATION-FOR-LOCATED, the packed grandstands cheered even above the sound of the engines , large grandstands surround the green , fan , structure , the fans certainly appreciated his efforts , many of the structures are crumbling with age
313, room ,LOCATION-FOR-LOCATED, head coach disclosed that he's stopped talking to the locker room , reporters swarmed the locker room , team , area , my complete focus is helping our team , about 20 people fled the area
314, room ,LOCATION-FOR-LOCATED, his presence ended up galvanizing the locker room , the senior exited the locker room , player , area , his coaching staff signed a dozen players , workers cleared the area
315, room ,LOCATION-FOR-LOCATED, football coaches want to command the locker room , a professional cleaning team disinfected the locker room , team , area , the community supported the team through rocky times , volunteers cleaned the area
316, room ,LOCATION-FOR-LOCATED, the loss also unified the locker room , workers were busy renovating the locker rooms , team , area , the rugged schedule prepares his team the best                , police closed the area
317, room ,LOCATION-FOR-LOCATED, the guy motivates the whole locker room , the media types invade the locker room with their cameras , player , area , nbl coaches selected five players and a coach , emergency responders evacuated the area
318, port ,LOCATION-FOR-LOCATED, the port of calais wishes you a happy new year 2014 , the ports have reopened to cruise traffic , director , place , its director oversees three employees , that special place attracted 7.5 million visitors
319, bars ,LOCATION-FOR-LOCATED, bars with balconies would cheer and wave as they passed , a bar occupies one corner , patron , building , several patrons were drinking alcoholic beverages , the building comprises a grand lobby
320, bar ,LOCATION-FOR-LOCATED, the whole bar was dancing along with him , the new bar attract newcomers , patron , place , patrons enjoyed free popcorn , the place closes around 4.30pm   
321, pub ,LOCATION-FOR-LOCATED, this whole pub supports the party , the country pub oozes rural charm , patron , place , patrons danced to well-known hits , those places host happy hours
322, auditorium ,LOCATION-FOR-LOCATED, about half the auditorium applauded enthusiastically , the auditorium had housed the original veterans memorial , audience , building , the audience appreciated the splendid performances , the building offers plenty of space
323, auditorium ,LOCATION-FOR-LOCATED, a packed auditorium listened to a top executive , the auditorium has already hosted two huge national events , crowd , building , the crowd greets the new year , the buildings had badly deteriorated
324, auditorium ,LOCATION-FOR-LOCATED, the whole auditorium sang along his hits songs , the auditorium reopened in 2013 , fans , place , fans waited patiently outside       , some places shut their doors for the winter months
325, place ,LOCATION-FOR-LOCATED, the place erupted in enthusiastic cheers , the place opened earlier this year , people , area , people are asking for help , the facility consists of numerous areas
326, place ,LOCATION-FOR-LOCATED, the place howled with approval , the place closed at 5 , people , facility , people heard gunshots , this state of the art facility belongs to the taxpayers
327, theater ,LOCATION-FOR-LOCATED, the theater was laughing nonstop , the landmark theater underwent a total restoration , audience , building , the audience responded to the music , both buildings incorporate green design
328, theater ,LOCATION-FOR-LOCATED, a packed saenger theater watched the inaugural ceremony , the new theater stands at the same center street location , member , building , the audience members all sat up in their seats , the building fronts kalakaua avenue
329, theater ,LOCATION-FOR-LOCATED, the entire theater sat reverently for a moment , the theater accommodated 131 performances , member , building , frustrated audience members left the building throughout the night , the building still retains many original elements
330, theater ,LOCATION-FOR-LOCATED, the entire theater just booed him , the theater dates to the early 1900s , fans , building , about 20000 fans attended the 2013 festival , the stunning wood building spans 25000 square feet
331, theater ,LOCATION-FOR-LOCATED, another returner impressed the entire theater , church groups rented out entire theaters , audience , space , the children were very excited to entertain a captive audience , the crew did a good job to utilize the space
332, theater ,LOCATION-FOR-LOCATED, the whole theater giggled , the theater features eight projectors , member , building , audience members threw red and white roses , the building is nearing completion
333, theater ,LOCATION-FOR-LOCATED, the entire theater gasped at the sheer shock , the theater shut its doors , member , building , audience members will vote for their favorite , the building lies in the center of town
334, bench ,LOCATION-FOR-LOCATED, the bench outscored the starters by one point , benches line the borders of the garden , reserve , seat , reserves played the last four minutes , seats fit snugly around your body
335, bench ,LOCATION-FOR-LOCATED, the bench scored 48 points , the benches seat numerous friends , reserve , seat , reserves enter the game , the seats face outward toward the street
336, bench ,LOCATION-FOR-LOCATED, the monsters bench reacted angrily , two wide benches flank the walkway , coache , seat , the coaches talked briefly about their performance , their seats suddenly tilt 90 degrees in mid-air
337, bench ,LOCATION-FOR-LOCATED, the whole bench was yelling at me , benches surround the fountain , teammate , seat , teammates congratulate yankees starting pitcher , the seats only accommodate 900 people
338, bench ,LOCATION-FOR-LOCATED, toronto's bench thoroughly outplayed their counterparts , the new benches overlooked the football field , reserve , seat , reserves and supporters rushed to the fence , the seats offer greater comfort and space
339, dugout ,LOCATION-FOR-LOCATED, the two dugouts stormed the field , the dugouts cover the corners , teammate , seat , his coaches and teammates trust his shot , the new seats hold the body even more securely 
340, dugout ,LOCATION-FOR-LOCATED, the phillies dugout celebrated success , each team's dugout flanks the old players' tunnel , teammate , seat , the teammate restrained the boy , their seats surrounded the playing field
341, phone ,CAUSER-FOR-RESULT, a phone disturbed the silence , the phone incorporated a processor , ring , device , the ring mimics a siren , the device features an integrated operating system
342, alarm ,CAUSER-FOR-RESULT, the alarm awakened the brother , the alarm detects fire , buzz , device , the buzz rose to a warble , the device informs the consumer
343, bell ,CAUSER-FOR-RESULT, her keyboardist had recently recorded cathedral bells , the bellringers restored the bells , tinkle , object , the screech of brakes drowns the tinkle , the project will showcase more than 300 objects
344, instrument ,CAUSER-FOR-RESULT, the microphone amplifies the instrument , the use damages the instrument , sound , object , this interference blurs the sound , designers created the object
345, piano ,CAUSER-FOR-RESULT, the piano reverberates in the hall , the piano costs $3500 , melody , object , the melodies filled the air , the object rests on the floor 
346, violin ,CAUSER-FOR-RESULT, the mute dampens the violin , the players hold the violin , sound , object , these tunes produce a haunting sound , the artist uses everyday objects
347, keyboard ,CAUSER-FOR-RESULT, the keyboards swell in the background , the keyboard features a reset button , music , device , the music was echoing down the canyon , the device dates from before the nineteeth century
348, bird ,CAUSER-FOR-RESULT, the woman was listening to the birds , the children feed the birds , chirp , animal , the echo resembles the chirp , hunting reduces these animals
349, river ,CAUSER-FOR-RESULT, the river echoed through the air , the river borders the territory , roar , water , the roar provided the perfect background music , the water covered nearly the entire neighborhood
350, ambulance ,CAUSER-FOR-RESULT, the ambulance resonated through the woods , the ambulance carried the victim , wail , vehicle , the wail pierced the morning calm , the vehicle lined the entrance
351, train ,CAUSER-FOR-RESULT, a train echoed in the distance , the train suffered some damage , whistle , vehicle , a whistle makes a sleepy noise , the vehicles ran on diesel engines
352, meat ,CAUSER-FOR-RESULT, the sauce hides the meat , the heat cooked the meat , taste , food , diet can drastically affect the taste , federal sharpshooters donate the food 
353, steak ,CAUSER-FOR-RESULT, mushrooms enhanced the steak , a customer ordered a steak , flavor , food , ketchup just mask the flavor , the truck sells homemade food
354, tree ,CAUSER-FOR-RESULT, the artist can be found breathing the trees , the forester planted the trees , fragrance , plant , water maintains the fragrance , a gardener waters the plants
355, speaker ,CAUSER-FOR-RESULT, the case muffles the speakers , the company tested the speakers  , noise , device , turning up the volume amplifies the noise , the two companies both feature a device
356, hammer ,CAUSER-FOR-RESULT, this device doesn't muffle the hammer , the victim grabbed the hammer , sound , tool , the panels absorbed the sound , a plumber throws his tools into the back of his van 
357, radio ,CAUSER-FOR-RESULT, the voice muffles out the radio , the system integrates the radio and modem , sound , device , two speakers provide the sound , students are inventing a device
358, world ,CAUSER-FOR-RESULT, closed doors annul and muffle the world outside , two youngsters informed the world outside , noise , people , the baby imitates the noises , an elusive nuisance terrorized the people
359, mic ,CAUSER-FOR-RESULT, mute button only slightly muffles the mic , her tiny hand grasped the mic , audio , instrument , the software improves the audio , the man was trusted to fix instruments
360, detector ,CAUSER-FOR-RESULT, the woman heard the smoke detector , cleaning staff activated the smoke detector , sound , device , the buttons on the right side control the sound , the department has already installed the device
361, quartet ,CAUSER-FOR-RESULT, that audience will also be hearing the quartet , the bassist will accompany the quartet , music , player , the orchestra furnished the music , fans have not followed the players
362, wolf ,CAUSER-FOR-RESULT, park naturalists actually hear wolves the night before , hunting will not eliminate wolves  , howl , animal , researchers analyzed over 2000 howls , hunters snared the animals
363, firearm ,CAUSER-FOR-RESULT, police heard the firearm , investigators retrieved the firearm from a bucket , shot , item , the sensors did recognize the shots , authorities recovered several items
364, bombs ,CAUSER-FOR-RESULT, locals report they heard the bombs , the government dropped the bombs  , sound , device , the video captured the sounds , each person controls the device
365, truck ,CAUSER-FOR-RESULT, a man heard the fire trucks in the background , the town maintains the fire trucks , rumble , vehicle , an editor reported feeling a rumble , the suspects damaged the vehicles
366, orchestra ,CAUSER-FOR-RESULT, these people used to go to hear the orchestra , interim conductor will direct the orchestra , sound , player , the recording captures the sound , adjudicator praised the players
367, firework ,CAUSER-FOR-RESULT, the neighbor heard a lot of fireworks , not many people misuse fireworks , sound , device , sensors detected the sound  , robots used to handle the devices
368, synthesizer ,CAUSER-FOR-RESULT, many fans thought that they were hearing a synthesizer , an experimental musician built a synthesizer , sound , instrument , each preset drastically changes the sound  , users can connect an instrument
